ÏñÔª	¹âÇ¿
729	198
730	198
731	197
732	195
733	193
734	189
735	182
736	176
737	170
738	157
739	143
740	126
741	107
742	 92
743	 79
744	 71
745	 65
746	 61
747	 59
748	 57
749	 56
750	 55
751	 54
752	 55
753	 56
754	 56
755	 55
756	 55
757	 54
758	 54
759	 54
760	 54
761	 54
762	 54
763	 55
764	 55
765	 56
766	 56
767	 56
768	 55
769	 55
770	 56
771	 56
772	 56
773	 56
774	 56
775	 56
776	 57
777	 57
778	 57
779	 56
780	 56
781	 55
782	 54
783	 53
784	 54
785	 54
786	 53
787	 53
788	 55
789	 56
790	 58
791	 60
792	 60
793	 59
794	 59
795	 58
796	 57
797	 57
798	 58
799	 57
800	 58
801	 59
802	 60
803	 62
804	 63
805	 66
806	 69
807	 72
808	 76
809	 81
810	 88
811	 96
812	106
813	113
814	122
815	133
816	148
817	165
818	181
819	198
820	207
821	213
822	218
823	221
824	222
825	223
826	224
827	222
828	223
829	222
830	223
831	221
832	221
833	221
834	220
835	221
836	221
837	219
838	218
839	217
840	214
841	212
842	211
843	209
844	208
845	208
846	207
847	204
848	204
849	200
850	198
851	194
852	190
853	187
854	183
855	175
856	167
857	160
858	150
859	138
860	124
861	110
862	 98
863	 87
864	 78
865	 71
866	 67
867	 67
868	 68
869	 68
870	 68
871	 68
872	 69
873	 72
874	 75
875	 78
876	 81
877	 87
878	 93
879	 98
880	105
881	112
882	120
883	129
884	139
885	150
886	157
887	166
888	178
889	190
890	199
891	205
892	211
893	213
894	215
895	218
896	217
897	218
898	219
899	219
900	219
901	218
902	217
903	217
904	216
905	216
906	215
907	216
908	216
909	214
910	214
911	214
912	214
913	215
914	213
915	211
916	208
917	205
918	203
919	197
920	194
921	189
922	180
923	174
924	165
925	158
926	149
927	138
928	127
929	115
930	101
931	 90
932	 79
933	 70
934	 64
935	 60
936	 58
937	 57
938	 56
939	 55
940	 57
941	 56
942	 56
943	 55
944	 56
945	 55
946	 55
947	 56
948	 56
949	 55
950	 56
951	 56
952	 55
953	 55
954	 55
955	 56
956	 58
957	 59
958	 59
959	 58
960	 59
961	 59
962	 59
963	 59
964	 62
965	 64
966	 66
967	 70
968	 74
969	 76
970	 81
971	 87
972	 92
973	 97
974	104
975	112
976	121
977	131
978	139
979	146
980	154
981	162
982	172
983	182
984	190
985	195
986	199
987	204
988	206
989	209
990	211
991	211
992	211
993	213
994	213
995	214
996	215
997	217
998	216
999	217
1000	218
1001	217
1002	219
1003	219
1004	219
1005	220
1006	219
1007	217
1008	214
1009	213
1010	209
1011	206
1012	202
1013	200
1014	195
1015	189
1016	183
1017	175
1018	167
1019	159
1020	148
1021	137
1022	123
1023	109
1024	 98
1025	 90
1026	 83
1027	 79
1028	 76
1029	 72
1030	 68
1031	 66
1032	 66
1033	 67
1034	 69
1035	 71
1036	 75
1037	 78
1038	 83
1039	 89
1040	 94
1041	101
1042	109
1043	117
1044	125
1045	132
1046	141
1047	150
1048	161
1049	169
1050	178
1051	187
1052	194
1053	199
1054	202
1055	206
1056	207
1057	208
1058	209
1059	210
1060	211
1061	214
1062	214
1063	215
1064	216
1065	216
1066	217
1067	218
1068	217
1069	218
1070	216
1071	218
1072	217
1073	216
1074	215
1075	215
1076	214
1077	213
1078	211
1079	209
1080	206
1081	205
1082	201
1083	198
1084	193
1085	186
1086	183
1087	176
1088	169
1089	163
1090	153
1091	145
1092	135
1093	125
1094	114
1095	102
1096	 93
1097	 85
1098	 78
1099	 74
1100	 70
1101	 68
1102	 66
1103	 66
1104	 67
1105	 70
1106	 73
1107	 76
1108	 80
1109	 85
1110	 91
1111	 97
1112	104
1113	109
1114	117
1115	125
1116	133
1117	141
1118	150
1119	159
1120	167
1121	174
1122	182
1123	189
1124	193
1125	200
1126	202
1127	205
1128	206
1129	205
1130	206
1131	207
1132	206
1133	206
1134	208
1135	210
1136	209
1137	208
1138	208
1139	208
1140	207
1141	208
1142	209
1143	207
1144	208
1145	209
1146	210
1147	209
1148	208
1149	207
1150	204
1151	201
1152	196
1153	190
1154	183
1155	175
1156	168
1157	160
1158	153
1159	145
1160	136
1161	127
1162	117
1163	107
1164	 97
1165	 87
1166	 79
1167	 72
1168	 68
1169	 65
1170	 62
1171	 61
